UNKNOWN
version=1
nRows=1501
nColumns=3
inDegrees=no
endheader
time	time	ground_force_vy
    500.00000000	      0.83330000	    754.32514530
    501.00000000	      0.83500000	    752.27597230
    502.00000000	      0.83670000	    750.06145420
    503.00000000	      0.83830000	    747.68314320
    504.00000000	      0.84000000	    745.14346690
    505.00000000	      0.84170000	    742.44582890
    506.00000000	      0.84330000	    739.59459200
    507.00000000	      0.84500000	    736.59509950
    508.00000000	      0.84670000	    733.45367650
    509.00000000	      0.84830000	    730.17756890
    510.00000000	      0.85000000	    726.77492410
    511.00000000	      0.85170000	    723.25474630
    512.00000000	      0.85330000	    719.62693860
    513.00000000	      0.85500000	    715.90224870
    514.00000000	      0.85670000	    712.09232910
    515.00000000	      0.85830000	    708.20969480
    516.00000000	      0.86000000	    704.26772560
    517.00000000	      0.86170000	    700.28067280
    518.00000000	      0.86330000	    696.26356830
    519.00000000	      0.86500000	    692.23221480
    520.00000000	      0.86670000	    688.20307410
    521.00000000	      0.86830000	    684.19313200
    522.00000000	      0.87000000	    680.21964770
    523.00000000	      0.87170000	    676.29994780
    524.00000000	      0.87330000	    672.45104830
    525.00000000	      0.87500000	    668.68934860
    526.00000000	      0.87670000	    665.03030250
    527.00000000	      0.87830000	    661.48804640
    528.00000000	      0.88000000	    658.07506130
    529.00000000	      0.88170000	    654.80181760
    530.00000000	      0.88330000	    651.67647030
    531.00000000	      0.88500000	    648.70465710
    532.00000000	      0.88670000	    645.88937700
    533.00000000	      0.88830000	    643.23093900
    534.00000000	      0.89000000	    640.72699390
    535.00000000	      0.89170000	    638.37269340
    536.00000000	      0.89330000	    636.16084090
    537.00000000	      0.89500000	    634.08220470
    538.00000000	      0.89670000	    632.12588330
    539.00000000	      0.89830000	    630.27966410
    540.00000000	      0.90000000	    628.53049900
    541.00000000	      0.90170000	    626.86495440
    542.00000000	      0.90330000	    625.26961630
    543.00000000	      0.90500000	    623.73150210
    544.00000000	      0.90670000	    622.23844050
    545.00000000	      0.90830000	    620.77935800
    546.00000000	      0.91000000	    619.34461410
    547.00000000	      0.91170000	    617.92618490
    548.00000000	      0.91330000	    616.51784480
    549.00000000	      0.91500000	    615.11523550
    550.00000000	      0.91670000	    613.71587010
    551.00000000	      0.91830000	    612.31911400
    552.00000000	      0.92000000	    610.92606270
    553.00000000	      0.92170000	    609.53946620
    554.00000000	      0.92330000	    608.16352270
    555.00000000	      0.92500000	    606.80372310
    556.00000000	      0.92670000	    605.46658320
    557.00000000	      0.92830000	    604.15941320
    558.00000000	      0.93000000	    602.89005500
    559.00000000	      0.93170000	    601.66660600
    560.00000000	      0.93330000	    600.49723380
    561.00000000	      0.93500000	    599.38988560
    562.00000000	      0.93670000	    598.35214740
    563.00000000	      0.93830000	    597.39099350
    564.00000000	      0.94000000	    596.51263310
